npoints,resmf,devmf,resf,devf,resmd,devmd,resd,devd
4,7.993137500017511e-05,1.3531443020182046e-05,0.00010604787500057,8.648912784151365e-06,4.525250000009251e-05,9.375234665624006e-07,8.27746249996153e-05,5.356134187760182e-07
8,3.762462500089825e-05,9.017377457734146e-06,6.158812500034472e-05,1.3888651684014119e-05,3.250687500022664e-05,2.3194742788945238e-07,7.286175000054129e-05,1.0353352557311037e-05
16,3.249687500028742e-05,1.2085233180180088e-06,5.832437500030707e-05,2.6041934361678747e-07,2.87778750003298e-05,4.4644253720888205e-08,5.020074999961821e-05,6.179148435648239e-08
32,3.268175000004092e-05,1.3635169377725583e-06,5.916199999989047e-05,1.3556732650661856e-07,3.0216375000780005e-05,1.5620174309203183e-07,7.041500000015688e-05,7.316124320865362e-07
64,7.32341249998214e-05,6.014377471561363e-06,0.00015556637499969383,3.745740543250603e-05,2.9024375000297198e-05,5.294793960436131e-08,9.84457499995095e-05,2.534868111324096e-05
128,3.4562624999789904e-05,3.07039799159423e-08,0.0001712493750001265,1.5787057079292576e-05,2.9047249999969438e-05,4.022670136988243e-08,0.00012999937499991177,3.3742033732745724e-07
256,3.397900000079446e-05,7.368683748359842e-08,0.00014061100000040128,7.959056161710224e-07,2.9232749999774654e-05,5.6845733863984256e-08,0.00013049149999888598,2.379616563544212e-07
512,3.738537500019845e-05,7.679019751877846e-08,0.00014067925000071924,1.298602608578884e-07,3.203512500027372e-05,3.276979502013347e-08,0.00012888437499958272,3.69586233855834e-07
1024,3.742712499965606e-05,8.454649249000407e-08,7.569749999980502e-05,4.4980551383891864e-07,3.280550000006599e-05,6.534332453170475e-08,0.00012652350000097456,5.770831819097844e-08
2048,3.6224624999636745e-05,9.881978469149467e-07,9.673874999993615e-05,5.879219233690221e-07,3.426262499983679e-05,3.1271709909862266e-07,0.00020793787500039684,6.658287100506285e-06
4096,5.077299999989293e-05,1.1723907204941064e-07,0.00014226812499895658,1.234586919263341e-05,3.444149999998203e-05,2.052675936929561e-06,0.0003833632500005457,1.8329056676436216e-06
8192,4.1831374999468096e-05,1.7244639713620772e-06,0.00023988862500079478,5.18780045072144e-07,4.3744249999644325e-05,5.824308902321053e-06,0.0007485548750003623,1.9270665676185825e-05
16384,4.181737500008609e-05,5.194446399247235e-07,0.0004416850000015238,6.88633727010465e-06,4.302612500017844e-05,6.707261813739627e-07,0.0014319288750002102,1.6227017736364957e-05
32768,6.813374999969923e-05,1.1108168073350387e-05,0.0007572646249993653,8.100839356196549e-07,5.5761375000074054e-05,4.416428808873991e-08,0.002638823749999464,7.067855311261047e-06
65536,7.112675000087165e-05,1.7622198362505242e-07,0.0015148948750005609,3.245261502368328e-05,9.324212500017026e-05,5.335128343458036e-08,0.005261989749999696,1.4559957286594218e-05
131072,0.00011946087500014357,1.2098082292328082e-07,0.003131292625000448,5.6369669216626574e-05,0.00016220849999992737,2.7136099112603227e-06,0.011301159749999456,0.00020400479982087206
262144,0.00019348212500025497,1.7470649559490872e-07,0.006292497624999616,8.260372858856235e-05,0.00028709200000021085,7.259104628990986e-07,0.02121984799999943,5.4521755656664224e-05
524288,0.0004126996249977921,4.2289946685908736e-05,0.012809694124999105,4.4172729375727855e-05,0.0007841168749997962,1.4033225241780952e-06,0.04539814150000154,0.00013844338696791407
1048576,0.0008905550000006812,7.555009874462431e-05,0.02571601199999929,0.00023393990465855937,0.0015038353749998734,2.2495391574014635e-05,0.08613799524999965,0.0008231813561635338
2097152,0.0017890004999987497,1.0086641350569708e-05,0.04626955187500048,0.0002222419293405371,0.003093149875002865,3.084137534430937e-05,0.16788874337500026,0.00037324708675263524
4194304,0.003591432374997261,1.4592019120012018e-05,0.09172374312499976,0.00018677988725017598,0.006314143374999581,3.1867133374815036e-05,0.33451492312500086,0.00100486513722305
8388608,0.007488165000000713,4.8448484801068737e-05,0.18289281337499919,0.0006851390799431711,0.012898946749997364,0.00018480098197466854,0.6733789902500007,0.0015501836327338396
16777216,0.01588194050000169,7.646106168249822e-05,0.36968817600000037,0.0011824270239960055,0.025467450250001633,0.0002234163858933381,1.3411473869999977,0.0034682812992177965
33554432,0.030165653750000132,0.00023685732655298082,0.7369381066250043,0.0028433875173598045,0.052560066125000304,0.0001780541451802342,2.695027909,0.007365343597303526
