npoints,resmf,devmf,resf,devf,resmd,devmd,resd,devd
4,4.9489000000235706e-05,2.4244122957642197e-07,8.714699999856634e-05,3.4408234850996425e-06,4.851537500094594e-05,1.5091387407223328e-06,8.939849999833882e-05,2.517252218918625e-06
8,5.969812499806437e-05,2.8144154123682634e-06,7.179599999673769e-05,3.1227631775861983e-07,3.751037500165921e-05,8.939510326673857e-08,6.382049999942296e-05,4.400886280523067e-07
16,4.544137499706835e-05,9.591133847009629e-07,5.9005875000295305e-05,3.006732086598206e-06,3.799075000188168e-05,7.797773326034029e-07,6.015137500092749e-05,2.863254921165913e-06
32,3.666724999717985e-05,3.6518035012581207e-07,7.215037499896937e-05,2.868100125727138e-07,3.7005500001185965e-05,1.4132674636850394e-07,8.567749999954799e-05,1.0060792496110995e-05
64,3.371399999885227e-05,2.5089837753738058e-08,0.00016909825000155365,3.160153394741152e-05,2.6959750002220062e-05,1.7414848389600157e-06,0.00012792300000086243,8.251139221683926e-06
128,3.604487499764275e-05,3.7028010874204604e-07,0.000138925124998579,2.0372066257744586e-07,2.7740875003345877e-05,6.589088771205681e-08,0.00013070762499545197,2.0612916899454483e-07
256,4.236975000004861e-05,1.1250527554127374e-07,0.00020796799999978077,1.8084442369033482e-05,3.887925000256587e-05,5.368241684432854e-07,0.00018479112499925066,2.545645486228308e-07
512,5.466537499820845e-05,1.1245008816657883e-06,0.00022845537499982527,3.422845179835291e-05,4.6520749998890665e-05,8.047190089212546e-07,0.00018405637499618877,4.5198350869570604e-05
1024,7.74782500005955e-05,5.451287091104604e-06,0.00010832599999943682,4.316042749072862e-07,2.9703625001431533e-05,2.796744263229084e-06,0.00011705999999911398,8.230236928446313e-07
2048,6.26515000003991e-05,3.970774857555371e-06,0.00018105912500132604,3.5989423462985527e-07,3.6531999997535536e-05,5.440282047300142e-06,0.0002095719999974932,6.01472151181728e-07
4096,4.056049999867639e-05,2.3328660983029746e-06,0.0003116028750014266,3.946423815652607e-07,3.392937500024118e-05,1.316182638053291e-06,0.00038299812499786867,4.271982657823365e-07
8192,3.849262500033035e-05,8.064260548115365e-07,0.0005699053749985694,2.0480474484303359e-07,3.739900000176988e-05,3.959423506332265e-06,0.0007449803749981498,2.0757905961715828e-05
16384,4.041312500113747e-05,2.0346218264662037e-07,0.001087905250001242,2.1331471892421294e-06,4.0832000003376834e-05,3.8720150680039786e-08,0.0013966193749972433,1.7640999763447245e-06
32768,5.1957000000157905e-05,4.4273073480185444e-07,0.002035018000000832,1.9446481178136977e-05,5.4761500001276886e-05,8.336815782842518e-08,0.0026363943749991847,8.406710860856599e-06
65536,7.486112500032505e-05,1.0793451260265163e-07,0.003997214249999104,2.284343739690478e-05,8.647974999931307e-05,7.825878275143349e-08,0.005166982375000018,1.741156509850973e-05
131072,0.00011129037499912897,7.409949102886354e-08,0.008543116624998959,9.65879822934399e-05,0.00015742087499681645,3.026826740301264e-06,0.010572265249999546,8.952046224565704e-05
262144,0.0002150258750024392,2.3992140955634416e-05,0.01615798324999851,0.0001736537167178272,0.0002742501249972662,4.962331639729933e-07,0.02127358100000265,0.0002184689183833256
524288,0.00039670687500326096,2.0548963745259018e-06,0.033461242124998236,0.0007214050447196332,0.000588213125002568,1.5918999991646016e-06,0.04134965112499778,0.00014440547770901786
1048576,0.0008216252499977372,2.214483051420793e-06,0.06362968712499928,0.0001440893460783671,0.001504519124996051,4.231259399148801e-06,0.08605346600000097,0.001245485054806446
2097152,0.001731408875000895,5.958801112801793e-05,0.12964886712500423,0.0015666895108870523,0.0031702057500009317,7.242631779902298e-05,0.16526021662500057,0.0005064446676749894
4194304,0.0036249666250043333,1.4409942042752515e-05,0.2542402219999982,0.0010155479166090297,0.006247937500003076,4.043286244076418e-05,0.33170894825000197,0.0009099712016694296
8388608,0.00831300437500282,0.00012086222288780298,0.5145267144999988,0.0043377458209619,0.01378302724999969,0.00022308995779804107,0.662407815750008,0.00239365198889785
16777216,0.016741048749999266,0.0004076352618188866,1.0194352778749938,0.002422192155044064,0.025607786500000174,0.00011154839680130148,1.3265570523749979,0.002917125417442238
33554432,0.029892725125005626,0.0002878326281739096,2.0428745229999983,0.006150583784514742,0.051527459625013705,0.00019716547335667993,2.6618977012499982,0.005480431553507527
